@relation repo_popular

@attribute fork numeric
@attribute size numeric
@attribute sum numeric
@attribute avg numeric
@attribute weight numeric

@data
0,148,1521,507,575.889
12,625,3064,1021.33,1828.25
0,88,48,48,48
0,7182,3951,303.923,202.341
70,37814,10293,214.438,54.7629
34,6807,386,42.8889,45.0323
8,6444,564,141,57.2439
4,737,678,339,79.2222
2,134,1920,960,1626.6
18,270,19265,19265,19265
698,26571,12436,163.632,4102.02
4,4628,84,84,84
0,88,1554,777,1207.8
6,430,1766,1766,1766
38,311,3368,336.8,898.805
0,224,1340,1340,1340
0,823,5542,692.75,1188.03
3,135,10929,10929,10929
3,1295,10929,10929,10929
0,112,1340,1340,1340
0,71416,54756,842.4,4107.97
2,1593,9428,349.185,706.736
1,913,6668,2222.67,2670.79
0,84,159,79.5,79.5
0,196,0,0,0
0,109,5,5,5
6,59,5150,2575,4744.54
2,650,6,6,6
9,1416,1620,405,87.6109
0,150,5765,384.333,463.875
3,468,175,58.3333,6.32857
7,108,1735,1735,1735
0,90,3028,1009.33,1339.62
3,94,7235,2411.67,2038.73
3,731,218,54.5,96.8636
1,101,1735,1735,1735
1,116,7117,2372.33,4735.55
3,80,631,631,631
1,80,10929,10929,10929
1,80,2126,1063,919
0,919,34742,8685.5,18304.4
5,90,7326,7326,7326
1,103,2632,658,1252.71
119,1972,12052,12052,12052
2,704,2673,334.125,706.604
3,119,182,60.6667,42.9167
1,80,1334,1334,1334
2,84,2112,2112,2112
9,115,1735,867.5,327.358
13,90,2279,2279,2279
64,168,4344,1448,2168.56
0,6104,161,32.2,35.725
0,184,2209,2209,2209
4,85,2571,1285.5,1616.67
5,99,1334,1334,1334
8,179,785,261.667,321
0,644,1495,1495,1495
4,162,3679,3679,3679
0,1723,8434,562.267,655.237
2,88,5139,5139,5139
3,90,1977,988.5,455.286
0,88,1869,1869,1869
7,2793,169,56.3333,58.375
0,84,1577,788.5,258.625
2,134,0,0,0
125,485,352,176,222.333
5,120,6636,6636,6636
0,107,21000,10500,13871.2
62,77,8772,674.769,6249.92
857,674,6812,1362.4,6302.99
2,88,10929,10929,10929
3,276,1410,470,1127.48
32,609,2400,100,887.948
14,890,1442,288.4,1193.44
5,297,6636,6636,6636
2,3686,10939,5469.5,1829.83
0,140,1495,1495,1495
2,447,7237,3618.5,5429
3,77,19265,19265,19265
13,140,6636,6636,6636
2,252,1482,741,1180.8
4,6789,17316,203.718,995.971
6,308,1582,791,1117.86
3,255,1493,746.5,1439.36
757,880,7368,1052.57,6426.36
67,408,9024,694.154,1325.48
1,160,1495,1495,1495
3,601,4908,377.538,1568.66
3,101,6636,6636,6636
18,3483,14162,2360.33,8332.09
2,142,6560,2186.67,4681.89
1,194,1447,723.5,201.8
0,291,1495,1495,1495
2,296,247,247,247
119,1387,6636,3318,5937.47
1,91,5849,5849,5849
33,850,19412,1617.67,3705.55
4,135,749,749,749
4,254,5139,5139,5139
5,237,1389,1389,1389
20,274,1925,641.667,703.4
7,86,9,9,9
