@relation repo_popular

@attribute fork numeric
@attribute size numeric
@attribute sum numeric
@attribute avg numeric
@attribute weight numeric

@data
9,6918,2320,1160,1885.45
3,163,1840,1840,1840
1,78,2252,1126,888
1,119,872,872,872
1,133,0,0,0
2,3025,22078,367.967,335.662
0,122,7797,1949.25,2891.55
1,154,3174,1058,904.039
129,342,2551,2551,2551
83,164,2146,1073,1958.19
1,75,1840,1840,1840
176,6463,11647,375.71,4389.02
3,153,6735,1683.75,2541.92
0,76,2277,2277,2277
0,76,2277,2277,2277
4,362,24,24,24
3,124,3171,3171,3171
4,988,3171,3171,3171
10,124,0,0,0
6,123,0,0,0
143,287,3059,89.9706,891.935
17,95,2029,2029,2029
1,110,5613,5613,5613
0,80,2672,2672,2672
1,625,439,439,439
0,76,2133,2133,2133
9,80,261,261,261
1,1077,3343,668.6,185.25
0,548,1797,1797,1797
0,104,1607,1607,1607
0,76,1840,1840,1840
6,36076,7015,2338.33,3933.29
4,1191,1607,1607,1607
0,116,1607,1607,1607
1,385,8264,1652.8,6417.51
1,1239,1743,67.0385,25.2994
4,218,0,0,0
1,129,862,862,862
2,225,0,0,0
1,173,0,0,0
1,5496,2499,624.75,1603.24
0,3646,5921,493.417,398.471
1,101,0,0,0
14,590,3268,466.857,1347.17
844,2833,13538,564.083,605.335
1,139,3988,997,414.375
1,193,1600,800,1515.65
5,166,1626,813,827.189
0,116,1565,1565,1565
2,267,1646,823,1268.2
2,98,1565,1565,1565
7,117,1474,1474,1474
1,109,2389,2389,2389
4,12980,6928,3464,3274.29
1,76,1840,1840,1840
2,146,0,0,0
0,2100,4310,4310,4310
0,80,9319,9319,9319
2,196,0,0,0
10,124,4756,1585.33,2789.68
1,115,949,474.5,474.5
0,408,0,0,0
445,2128,2621,291.222,622.917
1,15127,7537,259.897,45.0848
8,1108,0,0,0
1,97,0,0,0
6,108,928,464,129.667
0,264,9319,9319,9319
6,428,12052,12052,12052
1,102,1796,1796,1796
0,165,9533,4766.5,3861.57
1,100,2817,2817,2817
1,540,1566,783,1157
22,130,2008,286.857,1281
0,80,1565,1565,1565
1,77,260,130,166.5
1,18306,1996,399.2,213.02
1,222,2112,2112,2112
3,78,0,0,0
1,112,1574,787,1514.81
6,69,66,66,66
2,7086,10951,5475.5,683.03
0,76,1565,1565,1565
1,1615,841,420.5,713.892
5,209,0,0,0
9,123,1822,607.333,818
0,92,9319,9319,9319
3,85,11,11,11
1,101,3597,899.25,2147.48
5,1760,3021,274.636,329.34
3,98,15387,15387,15387
0,484,1327,1327,1327
1,137,7890,3945,2392.03
1,85,6347,3173.5,4637.2
4,684,4199,4199,4199
3,366,2593,2593,2593
7,70,1766,1766,1766
1,5959,140,70,18.0556
244,1517,3715,80.7609,1948.46
1,117,68,34,28.5455
1,92,73,36.5,45.25
1,106,111,27.75,29.4348
1,102,188,94,173.412
1,115,3335,1667.5,1341.4
1,104,1565,1565,1565
1,4871,2612,1306,1229.22
2,88,2279,2279,2279
1,84,4342,2171,1458
1,84,2603,1301.5,395.25
1,76,2029,2029,2029
3,84,2029,2029,2029
163,5799,10061,152.439,1710.57
5,132,3439,1719.5,3106.67
0,108,0,0,0
2,1963,8354,2784.67,4503.37
1,131,10354,2070.8,2548.41
0,80,1796,1796,1796
0,76,9319,9319,9319
0,671,118,59,83
63,237,4539,4539,4539
4,1236,2279,2279,2279
1,1580,10929,10929,10929
1,181,1899,949.5,1747.63
0,204,0,0,0
0,84,0,0,0
0,116,76,38,71.9167
0,84,1549,1549,1549
1,45696,0,0,0
1,98,1933,483.25,235.882
1,173,2689,268.9,110.393
1,21008,1750,1750,1750
1,103,18,18,18
1,114,10279,3426.33,2759.57
426,1100,13710,721.579,1336.11
4,102,2389,2389,2389
1,142,34,34,34
0,76,2029,2029,2029
22,232,21846,10923,21073.7
0,164,2593,2593,2593
34,189,7440,413.333,3656.34
2,903,8354,2784.67,4527.4
0,308,0,0,0
0,1612,13,13,13
40,147535,1384,1384,1384
2,131,2766,2766,2766
0,76,1565,1565,1565
1,264,5613,5613,5613
0,95,0,0,0
0,116,1532,1532,1532
9,122,54,54,54
1,4389,0,0,0
34,257,10929,10929,10929
145,116,10215,600.882,5166.78
0,100,1549,1549,1549
6,86,43,43,43
2,191,1563,781.5,1081.92
1,1413,7122,508.714,1150.57
0,7471,5095,134.079,206.217
1,23693,200,9.52381,21.886
1,363,540,270,490.226
3,74121,4539,4539,4539
2,4922,4590,2295,1086.69
2,116,380,380,380
0,74,3910,3910,3910
3,134,0,0,0
5,93,1514,1514,1514
8,411,3012,430.286,1049.9
0,100,2277,2277,2277
176,613,2946,79.6216,326.904
16,192,1573,314.6,1162.86
32,320,2551,2551,2551
2,871,1884,942,1552.44
11,17,7514,2504.67,6224.17
6,583,1285,1285,1285
0,164,1549,1549,1549
8,101,2029,2029,2029
5,92,2029,2029,2029
4,8851,55661,274.192,1287.24
1,122,24,24,24
2,121,1565,1565,1565
5,4796,0,0,0
10,452,0,0,0
523,2646,22033,314.757,3802.29
1,138,707,707,707
0,1024,15,15,15
3,101,0,0,0
1,154,194,48.5,67.5385
1,72,2515,1257.5,972.667
0,918,1796,1796,1796
1,330,789,49.3125,127.851
2,141,1532,510.667,1021.33
1,81,1565,1565,1565
1,539,2916,171.529,83.3474
1,92,80,80,80
1,110,5966,994.333,479.814
2,4263,10514,1752.33,2329.91
0,148,1840,1840,1840
2,1472,1454,1454,1454
1,324,358,59.6667,83.1111
1,79,3134,3134,3134
3,820,0,0,0
280,6163,32449,579.446,1045.56
9,324,2643,881,1706.17
2,14009,3706,1853,3598.54
0,72,2112,2112,2112
1,83,5716,2858,890.143
1,589,6412,801.5,195.112
1,301,358,179,205.238
1,536,183,45.75,43.6923
1,82,5613,5613,5613
7,15,186,93,93
0,108,1340,1340,1340
0,76,1340,1340,1340
0,80,1340,1340,1340
0,72,1340,1340,1340
2,445,1437,479,827.802
1,96,3636,1212,1872.22
4,110,1363,1363,1363
0,14380,0,0,0
0,100,164,54.6667,65.8333
1,9328,26034,13017,20382.3
4,608,1396,465.333,1209.9
14,104,21504,7168,9920.38
2,681,2897,263.364,710.261
6,164,1386,1386,1386
134,379,2551,2551,2551
0,153,3298,3298,3298
1,255,61,61,61
6,889,1668,556,1147.82
13,147,15474,5158,13949.7
157,803,24788,434.877,3095.67
0,116,9319,9319,9319
3,2046,3679,3679,3679
1,510,69,34.5,50.5333
7,143,1625,541.667,1462.67
0,140,1724,862,937.636
284,1929,12921,172.28,499.944
2,1117,0,0,0
4,143,0,0,0
4,92,1931,1931,1931
1,857,83,20.75,26.7083
7,137,224,74.6667,108.667
0,84,0,0,0
84,412,33255,1511.59,1456.22
0,88,96,96,96
1,142,5441,226.708,691.524
1,32299,11091,1008.27,2686.17
1,72,0,0,0
1,92,66,66,66
8,152,5769,2884.5,5364.95
0,108,3298,3298,3298
1,263,1931,1931,1931
83,648,14884,551.259,1561.02
34,255,3955,395.5,1446.86
43,182,10929,10929,10929
1,274,1728,246.857,474.577
1,108,1607,1607,1607
0,334,3298,3298,3298
2,7980,58135,1321.25,4855.16
0,113,2112,2112,2112
1,201,5454,779.143,2570.93
1,244,2389,2389,2389
1,128961,17521,265.47,738.9
0,2605,96,96,96
0,112,54,27,45
6,120,3679,3679,3679
1,4632,59498,1293.43,4913.73
0,104,14,14,14
0,100,36,36,36
3,146,1340,1340,1340
0,6552,4590,2295,1899
0,48,0,0,0
0,868,5,5,5
1,140,1899,949.5,1743.09
3,300,8166,8166,8166
1,204,1579,789.5,1204.03
2,151,2055,513.75,225
1,102,1340,1340,1340
4,1821,33,11,14.8854
1,1457,18,18,18
5,610,4912,1637.33,4292.29
261,513,20129,649.323,5899.05
1,80,1311,1311,1311
1,79,1311,1311,1311
1,84,1579,789.5,919.875
4,267,3286,3286,3286
6,652,3650,912.5,1814.09
0,7172,1760,1760,1760
1,92,1766,1766,1766
0,100,2796,1398,761
39,333,0,0,0
1,121,10841,3613.67,2740.21
79,14499,11632,135.256,2907.94
1,547,7051,1762.75,4059.13
1,6736,2067,147.643,317.714
2,503,1735,433.75,1117.87
0,92,51,51,51
145,375,9840,228.837,2594.39
1,1121,36916,1678,15875.6
0,19364,16,16,16
0,96,34,34,34
3,125,2900,580,1455.48
262,1698,2216,221.6,1037.95
2,128,1384,1384,1384
0,108,0,0,0
0,2122,0,0,0
0,92,2277,2277,2277
1,401,0,0,0
0,132,20,20,20
24,420,3093,441.857,2197.02
0,563,1752,1752,1752
1,214,2153,717.667,153.802
2,1391,3134,3134,3134
1,93,3134,3134,3134
0,108,5139,5139,5139
1,160,4706,1176.5,2300.29
1,101,2433,811,477.143
6,221,2704,676,1606.56
0,124,0,0,0
1,459,2468,411.333,418.625
16,3570,1939,387.8,1258.34
2,346,1816,1816,1816
0,96,2389,2389,2389
0,10212,39,19.5,16.9722
1,252,3163,395.375,914.874
0,124,3,3,3
3,101,1840,1840,1840
7,113,2029,2029,2029
51,69,27152,1005.63,9637.32
0,1340,9319,9319,9319
0,555,1750,1750,1750
1,722,22095,7365,6704.41
1,106,9357,4678.5,7462.8
0,116,0,0,0
0,344,6,6,6
0,7448,0,0,0
1,1567,2550,212.5,159.368
0,336,1580,1580,1580
1,89,1495,1495,1495
17,719,11348,5674,6583.54
1,144,2710,903.333,682.407
1,100,1971,985.5,519.409
0,900,2,2,2
0,238,1580,1580,1580
18,2610,19265,19265,19265
273,494,6140,614,4976.02
1,150,2133,426.6,488.811
1,211,2469,493.8,459.011
0,88,31,31,31
1,142,3346,1673,1617.33
6,143,3298,3298,3298
15,125,3355,1677.5,3081.93
1,97,2389,2389,2389
1,289,14415,626.739,1733.08
1,99,1864,932,110.476
25,4935,0,0,0
1,122,5992,2996,4268
1,161,2032,677.333,1376.5
1,4727,79980,202.995,673.988
0,2496,0,0,0
1,8897,9656,804.667,874.023
1,196,3291,3291,3291
2,102,2389,2389,2389
0,137,9319,9319,9319
1,24192,15403,1283.58,598.36
1,260,0,0,0
8374,583622,30180,72.201,4587.89
0,92,16,16,16
0,88,16,16,16
5,379,100,50,95.0316
0,96,0,0,0
3,102,1757,878.5,1424.88
3,103,7326,7326,7326
0,108,1340,1340,1340
0,112,122,61,54.7692
1,19284,2681,68.7436,57.3342
1,100,5638,2819,3284.67
15,128,8174,1634.8,2090
1,116,1840,1840,1840
0,180,6,6,6
1,188,2593,2593,2593
9,834,4310,4310,4310
3,102,1851,925.5,1602.56
106,19289,13646,3411.5,12040.3
0,396,1532,1532,1532
1,543,3298,3298,3298
0,364,21,21,21
0,132,2300,2300,2300
2,89,15387,15387,15387
30,605,3000,272.727,1097.06
1,102,9262,3087.33,3385.47
38,538,22795,1753.46,16723.6
4,125,2816,1408,1660.8
3,168,15,15,15
1,362,15,15,15
1,80,0,0,0
8,795,1506,1506,1506
2,8115,10929,10929,10929
4,2479,264,88,172.541
1,106,3298,3298,3298
0,923,1766,1766,1766
36,157,28205,7051.25,12793.4
0,165,96,96,96
0,92,10,10,10
2,987,1472,113.231,226.486
0,1616,0,0,0
1,10598,587,29.35,32.9737
0,132,1448,1448,1448
4,364,2401,1200.5,1992.83
1,126,274,91.3333,84.7586
10,507,6019,1003.17,2209.32
1,93,352,352,352
1,114,4279,855.8,1822.24
1,256,0,0,0
21,131,2632,658,2077
15,250,4487,2243.5,4431.7
2,144,2766,2766,2766
0,24160,34,34,34
2,168,2504,278.222,119.551
0,104,54,54,54
5,108,3460,3460,3460
2,110,1334,1334,1334
0,48,0,0,0
0,216,2389,2389,2389
38,205,21396,1645.85,8428.07
1,280,14,14,14
29,147,4830,1610,1690.65
1,7116,5,2.5,3.9863
182,3538,5157,114.6,786.155
1,1459,3595,898.75,317.207
1,289,2623,874.333,1261.92
1,664,86,28.6667,26.13
1,205,3308,1654,1244.47
1,100,1840,1840,1840
2,542,4665,4665,4665
62,136,15617,5205.67,14114.3
2,92,15387,15387,15387
0,844,73,36.5,44
2,1923,3679,3679,3679
0,180,4539,4539,4539
0,7396,2389,2389,2389
0,148,2112,2112,2112
2,89,7326,7326,7326
41,981,3769,107.686,1287.54
4,131,5621,1873.67,4449.12
1,108,3460,3460,3460
1,298,642,128.4,70.5
0,19676,1448,1448,1448
1,2440,66,66,66
0,92,0,0,0
5,171,1387,693.5,1321.59
25,197,5646,2823,3681.46
1,131,1426,713,1226.16
2,3051,2279,2279,2279
39,118,2279,1139.5,1823.2
1,2408,1401,1401,1401
14,171,21641,5410.25,11484.6
0,96,1668,1668,1668
0,192,5139,5139,5139
12,110,1340,1340,1340
0,1640,2766,2766,2766
4,86,2279,2279,2279
2,25299,10787,1198.56,2929.92
2,94,2389,2389,2389
7,92,1796,1796,1796
5,219,5261,5261,5261
0,148,75,75,75
13,312,1363,1363,1363
0,92,0,0,0
1,36421,307,153.5,284.613
0,484,1423,1423,1423
0,88,68,68,68
40,140,19419,4854.75,16461.8
5,129,2279,2279,2279
0,416,1714,1714,1714
0,120,1840,1840,1840
630,435,5008,185.481,2138.49
0,1272,6632,3316,2334.67
356,3105,3460,3460,3460
2,100,0,0,0
302,13850,39450,481.098,622.393
2,1977,107,15.2857,21.3178
14,261,37331,6221.83,10250.7
1,148,2539,634.75,337.077
398,24440,28861,2405.08,7038.41
1,1391,3208,152.762,410.153
8,123,0,0,0
1,970,666,74,65.7564
0,2616,1384,1384,1384
1,7459,1557,111.214,190.591
1,100,0,0,0
3,11456,4153,1038.25,1553.77
1,377,90,90,90
1,272013,5281,47.1518,272.617
2,800,10979,5489.5,149.807
1,3898,17220,226.579,193.746
2,143,2551,2551,2551
2,228,12876,6438,6173.82
28,664,2461,410.167,2045.35
0,21,96,96,96
1,929,7130,648.182,567.956
1,16736,0,0,0
1,6890,541,270.5,289.458
203,3676,4539,4539,4539
2,82,66,66,66
3,309,5139,5139,5139
0,224,176,176,176
1,176,4665,4665,4665
1,99,0,0,0
2,96,7326,7326,7326
1,606,577,192.333,399.908
0,2484,0,0,0
13,466,585,41.7857,55.5625
0,108,5,5,5
17,224,2471,247.1,1594.19
2,152,0,0,0
1,81,3270,1635,771.923
1,567,2593,2593,2593
0,111,70,70,70
0,1228,0,0,0
2504,16183,10558,162.431,3711.91
1,132,11,11,11
0,168,47,47,47
1,561,8,2,1.84337
6,527,20741,6913.67,7962.7
1,88138,2067,2067,2067
6,124,3291,3291,3291
1,93,0,0,0
81,223,10981,1220.11,3892.68
1,40710,122245,326.858,2705.41
4,11260,0,0,0
0,2168,62289,2595.38,12799.8
22,13290,42,14,13.6667
1,93,23983,7994.33,9355.95
1,402,33668,1346.72,7157.56
0,96,9319,9319,9319
1,92,2464,821.333,925.3
3,173,18195,1819.5,1395.4
1,201,1266,422,636.659
206,741,8673,867.3,3501.24
0,180,1646,548.667,198.089
4,20,3366,841.5,2722.34
12,873,145,48.3333,139.829
1,92,1849,924.5,517
33,490,5257,477.909,2460.66
1,3299,192,96,82.7143
2,265,3174,1058,884.713
5,93,2616,872,1299.5
2,2751,10856,542.8,2686.1
0,271,2252,450.4,962.182
0,108,1285,1285,1285
2,13565,87,43.5,77.1136
2475,5905,9936,74.1493,1071.52
1,126,85,85,85
0,85,4539,4539,4539
13,198,26649,3807,16016.2
1,221,6948,1389.6,917.394
0,156,2112,2112,2112
16,664,3713,1237.67,1796.59
0,92,1423,1423,1423
0,164,193,193,193
0,168,193,193,193
39,8417,2251,225.1,1382.9
23,366,5336,148.222,489.57
14,103,2059,1029.5,1641.2
20,568,1793,1793,1793
1,701,87,87,87
1,400,7272,220.364,209.177
3,1748,1930,965,1338.63
0,124,1340,1340,1340
0,160,9319,9319,9319
127,2929,3531,392.333,1979.03
1,214,19513,336.431,641.325
1,93,96,48,48.25
1,1007,96,96,96
1,102,100,100,100
0,260,455,455,455
1,433,4253,250.176,298.702
3,146,0,0,0
7,827,1840,920,1540.05
1,90,2414,1207,497.8
18,362,380,190,316.667
1,595,6636,6636,6636
1,124,0,0,0
1,7693,2418,39.6393,204.399
2,191,15553,3888.25,1981.12
6,164,3257,1628.5,1830.17
3,129,1869,1869,1869
0,1952,1580,1580,1580
0,141,177,177,177
2,548,2810,255.455,254.291
1,1042,722,240.667,201.433
0,120,20,20,20
1,22987,11078,615.444,616.212
4,96,15387,15387,15387
47,299,7075,1768.75,5940.52
0,660,49,49,49
1,175,1268,1268,1268
1,105,52,26,37.2069
0,156,75,75,75
0,180,0,0,0
111,140,2505,501,1699.14
0,105,11,11,11
1,92,2735,1367.5,1142.12
2,96,2279,2279,2279
0,100,0,0,0
5,125,10929,10929,10929
1,133,1532,510.667,68.1905
0,94,1709,1709,1709
1,416,42,42,42
1,220,23,11.5,11.6667
1,274,106,53,49.2333
33,334,0,0,0
2,9457,35489,2534.93,665.918
3,237,7326,7326,7326
1,12815,2484,207,362.568
1,100,1058,151.143,349.708
0,96,0,0,0
1,590,1510,503.333,178.769
112,1581,16454,357.696,2434.85
29,147,2036,509,1082
1,993,207,207,207
0,108,11,11,11
1,59868,1000,200,272.85
0,4564,125,62.5,62.5
1,82,2903,1451.5,1050.33
0,112,9319,9319,9319
1,547,6281,3140.5,3764.4
3,404,4014,2007,2121.06
1,229,2921,1460.5,741.94
3,331,2335,333.571,931.427
3,208,0,0,0
1,199,327,65.4,97.9855
3,3269,0,0,0
1,104,1714,1714,1714
1,474,1326,1326,1326
50,618,3108,310.8,577.323
1,108,3286,3286,3286
112,173,12520,12520,12520
0,368,87,87,87
411,4951,14233,189.773,3468.83
41,196,8580,1430,4108.72
1,260,3298,3298,3298
1,59057,21,10.5,19.8593
3,104,20459,10229.5,17596.4
1,114,313,156.5,285.136
6,2107,4271,2135.5,2511.5
1,93,4695,2347.5,594.3
1,767,362,362,362
1,22134,12346,1763.71,337.569
1,5371,20747,384.204,479.043
0,136,1714,1714,1714
1,365,58,29,18.5833
1,1793,297,49.5,90.25
10,158,3768,753.6,1344.98
0,536,268,268,268
1,99,2672,2672,2672
1,186,9472,9472,9472
0,123,9472,9472,9472
1,109,9472,9472,9472
0,132,11,11,11
1389,2574,4779,183.808,3113.99
4,102,3460,3460,3460
0,96,1793,1793,1793
1,7284,3123,78.075,207.206
1,30093,0,0,0
13,113,1822,911,1329.2
3,285,3079,1026.33,1143.06
1,250,6401,914.429,210.024
0,110,0,0,0
1,96,6298,3149,931.4
18,672,2300,2300,2300
16,89,7326,7326,7326
39,639,7111,790.111,2006.87
2,3252,1474,1474,1474
0,92,6,6,6
1,97429,124695,330.756,2642.07
1,1352,4539,4539,4539
8,92,2029,2029,2029
15,1672,10946,5473,6837
3,902,2135,1067.5,750.268
1,110,5770,961.667,667.93
13,140,1525,508.333,835.857
4,258,59,59,59
482,3151,38527,786.265,1472.15
26,944,2766,2766,2766
1,2544,22370,3728.33,10275.9
13,1409,9536,3178.67,8361.22
2,156,10929,10929,10929
20,511,4761,793.5,1941.3
3,99,7075,1768.75,3150.55
11,141,3877,1292.33,2077.12
3,209,1386,1386,1386
34,90,3546,506.571,2333.17
0,132,7,7,7
143,379,8242,824.2,5300.84
75,1718,7440,195.789,1815.02
1029,1914,3378,337.8,2091.02
2,448,10952,1825.33,1285.4
0,66137,217,217,217
263,841,2512,279.111,804.031
1,125,5895,2947.5,513.783
0,557,0,0,0
0,1236,1619,809.5,1416.01
1,839,96,96,96
769,1009,2309,164.929,1414.73
0,293,1806,903,1604.18
0,120,54,54,54
2,189,1766,1766,1766
1,190,43,43,43
1,176,1668,1668,1668
9,18,4657,4657,4657
24,285,4657,4657,4657
2,168,420,420,420
2,7325,44242,1427.16,4922.81
1,7330,9933,413.875,781.503
0,100,2389,2389,2389
1,217,1533,766.5,1518.45
0,556,1610,1610,1610
1,150,589,42.0714,39.45
1,93,5613,5613,5613
0,9026,59,59,59
0,332,10,10,10
9,127,1564,391,1067.75
12,487,1418,709,1155.09
0,116,1410,1410,1410
0,88,10,10,10
1,115,9600,3200,5935.74
0,124,616,616,616
0,1016,2672,2672,2672
5,1023,1435,717.5,1324.76
0,996,2672,2672,2672
2,9845,64027,1016.3,4753.11
0,88,2029,2029,2029
0,100,0,0,0
8,116,1822,911,771.6
1,151,1116,101.455,92.3404
1,177,9073,4536.5,3747.07
0,84,0,0,0
2,104,5407,2703.5,3296.33
2,4073,1796,1796,1796
1,173,22217,4443.4,16986.5
418,14237,2297,88.3462,1230.91
0,328,27,27,27
0,92,3134,3134,3134
1,7486,8,8,8
7,1609,1718,1718,1718
11,512,13345,3336.25,7828.56
9,203,11348,5674,6194.71
1,11338,3547,1773.5,1790.85
84,116,26786,1674.12,5226.81
0,112,1285,1285,1285
0,116,1797,1797,1797
578,8709,5944,66.7865,680.943
0,100,1423,711.5,867.846
2,328,96,96,96
2,12156,1474,1474,1474
0,1520,0,0,0
46,515,9872,987.2,1875.48
35,722,5942,424.429,1463.35
5,166,19,19,19
1,134,254,50.8,71.5429
1,195,24,12,13.1579
1,909,0,0,0
0,756,5,5,5
20,15,1741,580.333,1263.79
18,111,6993,2331,642.042
1,94,1285,1285,1285
2,396,1734,578,1319.55
1,1099,6119,3059.5,1386.52
1,317,16710,8355,8355
1,637,2073,188.455,175.6
0,88,8,8,8
1,154,882,147,175.686
1,1601,2460,1230,2028
25,314,2129,354.833,1481.65
0,116,2593,2593,2593
0,120,4312,2156,3960.7
2,105,176,176,176
0,218,8724,581.6,987.418
2,3266,0,0,0
1,112,8980,1122.5,364.395
3,147,1323,1323,1323
0,48,0,0,0
0,96,0,0,0
1,188,11348,5674,6169.72
1,149,11348,5674,7939.81
0,280,616,616,616
10,104,3286,3286,3286
0,118,1708,854,1309
1,721,8,4,5.72152
14,149,3054,436.286,1615.41
57,519,6,6,6
0,2296,4539,4539,4539
3,5083,11041,1104.1,388.94
0,112,2112,2112,2112
1,24908,66,66,66
106,208,9722,405.083,4586.66
5,109,2389,2389,2389
1,409,444,74,75.438
0,100,1495,1495,1495
2,89,16,16,16
0,11140,1448,1448,1448
4,9169,1448,1448,1448
0,1192,1448,724,579.2
5,93,1931,1931,1931
3,180,1389,1389,1389
1,92,2389,2389,2389
2,816,616,616,616
8,334,59,59,59
1,81,197,197,197
1,94,380,380,380
1,866,53399,988.87,695.926
1,1460,59,59,59
1,302,4040,404,533.579
1,1931,49253,929.302,1395.17
12,372,11900,1983.33,2765.91
57,12854,623,29.6667,22.6905
24,454,10941,5470.5,6250.29
41,518,3323,1661.5,2934.33
42,1908,20498,10249,18571.5
82,192,4742,2371,4388.06
1,434,160,26.6667,25.7588
1,109,986,328.667,92.5897
1,162,220,220,220
1,110,1448,1448,1448
1,11409,1760,1760,1760
0,104,3298,3298,3298
2,160,1495,1495,1495
1,9135,21,21,21
0,448,4,2,1
11,295,14,7,6.08696
1,173,365,60.8333,116.448
1,7710,6970,174.25,322.539
0,126,27,27,27
0,100,29,29,29
1,131,3298,3298,3298
7,667,8726,793.273,240.507
0,200,5039,5039,5039
1,8699,2885,288.5,524.218
0,3936,3286,3286,3286
0,92,1565,1565,1565
1,5930,3331,92.5278,83.6974
1,595,11,11,11
7,259,217,43.4,46.7083
1,100,5139,5139,5139
1,123,0,0,0
1,116,5752,2876,3788.33
2,5777,4539,4539,4539
1,1250,26,26,26
1,251,132,66,40.2
1,140,2293,2293,2293
1,93,2293,2293,2293
68,461,23527,2614.11,2616.48
55,8678,1413,706.5,1377.82
145,1585,1636,545.333,397.625
1,3317,19615,1225.94,2905.61
0,200,176,176,176
4,4329,7326,7326,7326
0,1428,19,9.5,7.11905
0,96,18,18,18
0,108,176,176,176
1,726,34384,781.455,9980.36
2,117,75,75,75
90,2347,1330,665,1320.05
357,913,12668,230.327,2958.25
1,195,2221,1110.5,555.846
0,880,1766,1766,1766
1766,4448,22083,133.03,427.1
2,21208,4184,87.1667,53.1406
0,92,9319,9319,9319
1,7854,2152,358.667,124.164
1,173,1532,1532,1532
5,84,1532,1532,1532
1,566,29,29,29
4,48,2047,1023.5,1955.22
2,1714,2300,2300,2300
0,104,75,75,75
0,92,1532,1532,1532
15,162,1343,671.5,1300.88
50,368,3900,557.143,1712.86
0,172,1580,1580,1580
0,144,1580,1580,1580
4,253,176,176,176
6,97907,24848,76.2209,863.205
1,555,105,26.25,25.6517
1,223,66,66,66
0,4000,1613,1613,1613
1,4418,44,44,44
1,2652,1563,781.5,1442.15
1,95,10929,10929,10929
1,297,1674,418.5,371.551
9,12381,0,0,0
0,128,1613,1613,1613
1,101,81,81,81
1,272,3861,3861,3861
2,173,29,29,29
2,100,1616,808,1392.48
16,186,1531,510.333,1284
0,332,1495,1495,1495
6,22,2514,838,1911.7
1,190,2112,2112,2112
6,139,2137,1068.5,1259.56
3,359,32156,2009.75,7145.56
0,99,1565,1565,1565
1,202,1642,182.444,215.723
10,137,1298,1298,1298
179,1200,16426,714.174,8505.91
0,2812,19,19,19
1,109,447,447,447
1,1398,82649,533.219,810.225
0,282,3016,754,798.161
5,108,4657,4657,4657
1,325,6073,674.778,928.211
1,4465,5955,661.667,901.167
0,110,34,34,34
0,356,1384,1384,1384
5,3976,2633,1316.5,1624.38
1052,112490,5608,43.8125,1064.15
0,100,1532,1532,1532
1,102,2112,2112,2112
1,157,82,27.3333,20
0,108,11,11,11
42,908,190,38,24.5667
0,120,5,5,5
0,307,0,0,0
0,96,16,16,16
1,124,2600,236.364,220.966
1,663,3598,514,1211.52
26,261,1926,385.2,1024.9
163,1024,5051,210.458,1044.34
74,163,2386,216.909,778.61
1,2244,1356,226,97.0178
1,1046,415,59.2857,39.8878
1,676,546,273,407.53
0,5996,4539,4539,4539
17,176,3685,921.25,2378.79
8,3216,4156,1039,1372.9
1,459,0,0,0
11,10142,3875,1937.5,3828.94
21,861,6194,2064.67,2771.77
15,379,2149,716.333,1876.26
23,1111,2339,584.75,1533.89
9,121,6132,6132,6132
0,100,2067,2067,2067
3,11488,25,25,25
1,79,549,549,549
1,96,0,0,0
0,100,1565,1565,1565
27,179,6,6,6
27,570,2057,685.667,1861.69
1,333,37,12.3333,13.8462
0,100,1613,1613,1613
18,847,1936,645.333,1394.29
7,262,1725,215.625,1069.31
0,104,1429,1429,1429
5,24,2118,529.5,1253.83
2,139,1502,751,835.75
30,2108,2054,120.824,1187.13
0,100,1429,1429,1429
0,116,1429,1429,1429
10,3002,1661,237.286,776.007
4,171,1627,325.4,738.125
0,224,1429,1429,1429
1,141,1429,1429,1429
0,100,1429,1429,1429
0,100,1429,1429,1429
3,82,1509,754.5,1389.32
0,340,9,9,9
6,101,20421,20421,20421
0,244,0,0,0
1,4131,23317,416.375,4046.2
2,14787,4539,4539,4539
0,48,0,0,0
1,147,1805,225.625,301.353
0,88,1532,1532,1532
0,136,88,44,37.2308
2,95,6878,6878,6878
0,108,75,75,75
1,103,16,16,16
8,71029,61024,213.371,939.095
40,731,2275,568.75,1167.24
0,100,3291,3291,3291
2,96,1714,1714,1714
1,9637,35985,922.692,19669.6
2,132,1483,741.5,1330.79
13,228,128,64,117.375
0,132,6,6,6
0,324,1454,1454,1454
12,138,1854,168.545,1086.8
1,10238,67250,896.667,4685.75
8,97,4706,2353,701.571
3,160,1285,1285,1285
0,91,3,3,3
0,872,0,0,0
1,1698,0,0,0
1,4856,1827,48.0789,115.418
1,209,2046,511.5,91.3704
1,7490,1735,1735,1735
1,8577,87,87,87
6,207,9302,9302,9302
0,92,72,72,72
0,268,19,19,19
1,5184,72,72,72
25,367,4009,445.444,1710.49
1,178,5231,1307.75,1783.89
1,96,5139,5139,5139
30,466,4594,1148.5,3372.72
3,85,125,62.5,74.1071
1,150,75,75,75
4,107,2003,2003,2003
6,138,7156,1431.2,2258.39
1,643,66,16.5,8.50617
1,99,6878,6878,6878
1,84,411,411,411
15,110,1797,1797,1797
0,100,0,0,0
0,516,34,34,34
0,96,1607,1607,1607
0,96,75,75,75
0,88,3291,3291,3291
